,user_id,name,email,address,birth_dt,phone,type,rubro
0,MLB410638994850,Carlos Eduardo Moura,cardosoisabel@example.com,"Feira Sales, 51
Carmo
49826-972 da Mata do Campo / DF",1958-03-07,84 8887 0394,8.0,1.0
1,MLB44585068070,João Vitor Cunha,ana-luizarodrigues@example.com,"Distrito da Luz, 4
Frei Leopoldo
71718588 Costela da Praia / MG",1978-06-09,51 9358 7614,8.0,9.0
2,MLB4815806440,Fernando Costa,nogueirathiago@example.org,"Passarela da Rosa, 95
Glória
46105-403 Melo / MA",2001-03-13,0300 560 1075,9.0,2.0
3,MLB3944955860,Maria Clara Azevedo,souzafrancisco@example.org,"Setor Yago Almeida, 7
Paraíso
88387-297 Silva Verde / PB",1915-03-05,+55 (011) 5809 4712,,
4,MLB747760490,Srta. Fernanda Jesus,nicolas88@example.org,"Lago de da Rosa, 85
Belvedere
41665068 da Rocha de Goiás / CE",1994-09-27,+55 51 6154 7175,,
5,MLB7887565040,Joana Moraes,evelynnovaes@example.com,"Rodovia de Farias, 84
Acaba Mundo
54518208 Novaes Alegre / CE",2007-08-03,51 2205 5057,,
6,MLB8311196030,Felipe da Conceição,gdas-neves@example.com,"Distrito de Aragão, 76
Vila Fumec
69365741 Nascimento de da Mota / CE",1991-10-15,+55 11 6846-0534,,
7,MLB10252508010,Cauã Cardoso,luigi57@example.org,"Lagoa Danilo Correia, 77
Vila Madre Gertrudes 2ª Seção
50918332 Porto da Prata / RS",2005-09-05,+55 41 8564 6310,,
8,MLB10421224310,Dr. Pedro Henrique Carvalho,eda-luz@example.org,"Rua de Duarte, 2
Pompéia
79268-660 Barbosa / PA",2013-05-09,11 2562 5552,,
9,MLB10509513670,Sra. Kamilly Cardoso,andre06@example.com,"Estrada de Aragão
Aparecida
54623168 Nunes do Amparo / TO",2008-04-04,+55 (084) 9152-8078,,
10,MLB10592777710,Fernando Pires,pereiraisaac@example.net,"Trecho de Caldeira, 3
Granja Werneck
96731-473 Cunha / RR",2005-10-17,+55 (084) 7745-5267,,
11,MLB7186228450,Srta. Larissa Fernandes,raraujo@example.net,"Campo Ana Julia Gonçalves
Boa União 1ª Seção
91691-814 Santos / RN",2004-09-17,+55 (071) 6571-2131,,
12,MLB10636177190,Ryan Aragão,felipe81@example.com,"Vale Pereira
São Gonçalo
88494124 Caldeira da Prata / PI",2009-02-28,71 5723 6000,,
13,MLB1860944050,Thales Santos,rmoura@example.net,"Campo de Fernandes, 58
Esperança
10357138 Correia / TO",2000-04-17,84 0827-2770,,
14,MLB3637771080,Luiz Felipe Barbosa,crezende@example.org,"Pátio da Cunha, 684
Zilah Sposito
42997296 Monteiro do Sul / PA",1959-04-23,0500-510-6327,,
15,MLB10631641710,Benício Vieira,bda-costa@example.org,"Distrito Kamilly Fogaça, 75
Vila Califórnia
68402-964 Rocha / MS",1997-12-24,+55 51 0290 0185,,
16,MLB5823729900,Sophia Santos,mporto@example.net,"Colônia Nascimento, 2
Vila Paquetá
35391787 Martins / SE",1934-11-17,31 4973 7308,,
17,MLB7333307950,Stella Lima,antonio16@example.com,"Fazenda de Santos, 5
Ernesto Nascimento
24874-225 Nunes / AL",1992-09-24,0300 216 7837,,
18,MLB10664080500,Thomas Azevedo,marcos-viniciusbarbosa@example.com,"Favela Ramos, 92
Vila Santa Monica 1ª Seção
98532-080 Moreira / MT",2014-11-29,+55 21 0731-7895,,
19,MLB3009508710,Maria Julia Mendes,aragaoana-carolina@example.com,"Parque Ana Clara Silveira, 95
São Paulo
59371-007 da Costa das Flores / AP",1992-10-29,+55 (081) 5348-7993,,
20,MLB42318684570,Benjamin da Luz,dpeixoto@example.net,"Recanto de Cardoso, 41
Granja De Freitas
92120574 da Mota da Praia / AM",1911-12-16,+55 81 7135 4514,9.0,4.0
21,MLB5118618800,Pietra Sales,marcos-viniciuslima@example.org,"Distrito Gomes, 3
Vila Satélite
03178-937 Farias / TO",1952-02-26,+55 (081) 1171 5076,,
22,MLB10550358290,Pietro Martins,lfogaca@example.org,"Distrito Matheus Moura
Alto Vera Cruz
51488-980 Costela / CE",1908-10-22,+55 (051) 6292-8091,,
23,MLB2081333920,Ryan Monteiro,theo70@example.org,"Vila da Rocha, 88
São Cristóvão
02222712 Castro / PA",1958-01-23,+55 (071) 3119 2900,,
24,MLB10521507890,Gabriela Moura,isabelmartins@example.net,"Campo de da Costa, 263
Vila Boa Vista
50352-785 Barbosa de Goiás / SP",2008-02-02,(041) 7629 2160,,
25,MLB47050217280,Vicente Silva,ribeiromaria-fernanda@example.org,"Trecho de Dias, 22
Vila Barragem Santa Lúcia
70704-242 Peixoto / SC",2018-10-10,71 5500-2884,,3.0
26,MLB10601835380,Anthony Azevedo,cauefarias@example.org,"Rodovia de Azevedo, 2
Juliana
30274481 Castro / PB",1958-12-03,+55 81 7048 0502,,
27,MLB10610198010,Thomas Campos,martinsyago@example.org,"Alameda de Santos, 981
Vila Petropolis
96054-116 Moreira / PI",1996-11-24,(071) 1503 4396,,
28,MLB10204743810,Lívia Castro,ana-sophia39@example.com,"Aeroporto de Farias, 42
Funcionários
22386671 Aragão / AP",1979-05-19,(061) 5875 1110,,
29,MLB46482929822,Pedro Peixoto,maria-cecilia33@example.org,"Recanto Isabel Vieira, 4
Vila Nova Gameleira 3ª Seção
61028727 Martins / PA",1971-10-19,0500 167 5013,9.0,4.0
30,MLB314314240,Melissa Carvalho,andremoraes@example.org,"Distrito Alexandre Porto, 929
Ipiranga
58623-007 Castro Verde / PE",1973-11-23,+55 71 1552-2441,,
31,MLB10647879940,Lorena Correia,rodriguesgabrielly@example.com,"Conjunto Juan Rezende, 5
Fazendinha
74826445 Costela Paulista / PA",1979-12-22,71 9204 2068,,
32,MLB10655659970,Ana Lívia Fogaça,maria-vitoriafreitas@example.net,"Setor Lucca da Costa
Califórnia
71551-602 Fogaça / TO",1913-10-29,(031) 5500-1523,,
33,MLB399543950,Sra. Maria Fernanda Araújo,isabella19@example.net,"Passarela Murilo Silveira, 54
Comiteco
29043-462 Porto do Sul / PE",2012-08-25,0900 523 8692,,
34,MLB2582459850,Cecília Novaes,moraesjoao@example.net,"Chácara Monteiro
Planalto
72884160 Santos / RN",2001-10-23,+55 71 9210-5276,,
35,MLB2788668770,Rafaela Souza,vitorda-conceicao@example.com,"Travessa Ana Sophia da Rosa, 54
Pousada Santo Antonio
92882178 Castro / SE",2005-09-25,+55 (041) 0940 0897,,
36,MLB3621203620,Vitor Rodrigues,rezendeana-luiza@example.org,"Quadra Monteiro, 5
Conjunto Minas Caixa
14105016 Pinto / MT",1961-07-06,+55 81 1529 3797,,
37,MLB10556828950,Srta. Maysa Novaes,joana94@example.com,"Vereda Pires, 228
Cenaculo
04559-403 Rocha / AP",1985-08-10,+55 (081) 1840-2898,,
38,MLB6079057310,Caio Alves,nascimentoisabella@example.com,"Alameda Luigi Oliveira
Cônego Pinheiro 2ª Seção
16385-892 Silva / SC",1980-09-05,0500-882-0202,,
39,MLB6440671060,Daniela Porto,laura26@example.net,"Viela Ribeiro, 70
Castanheira
63583-195 da Conceição de Porto / MS",1918-08-17,51 4750 6951,,
40,MLB10288347250,Yasmin Ramos,thomascampos@example.com,"Viaduto Cardoso, 60
Vila Nova Cachoeirinha 2ª Seção
55270741 da Rocha / GO",1969-12-05,71 3623 5740,,
41,MLB10575191770,Miguel Freitas,peixotovalentina@example.net,"Setor de Rezende
São Gabriel
92190042 Moraes da Prata / PI",2021-10-27,(084) 2133 3590,,
42,MLB4257450810,Sra. Stephany Nunes,psouza@example.com,"Feira Emilly Caldeira, 71
Vila Independencia 2ª Seção
30562-054 Freitas / AP",1936-03-19,+55 (031) 9109 0995,,
43,MLB5686400900,Pietra da Rocha,marcelaazevedo@example.net,"Alameda Lucca Alves, 76
Vale Do Jatoba
73988-366 da Conceição de Almeida / PB",1932-11-13,0300 997 2892,,
44,MLB1603055200,Lara Pereira,xda-mata@example.org,"Parque Aragão, 44
Vila Primeiro De Maio
96024319 Vieira do Norte / SE",2002-09-15,(011) 9672-8057,,
45,MLB4294256950,Gabriela Jesus,lduarte@example.net,"Fazenda de Cardoso
Centro
35665452 Monteiro / PA",1959-10-20,(061) 3672 0384,,
46,MLB7608286360,Stella Barros,joao-gabriel28@example.net,"Fazenda de Farias, 39
Aparecida 7ª Seção
28590-988 Pires / RJ",1976-09-26,11 9997-3177,,
47,MLB2323818680,Mariane Porto,icaldeira@example.com,"Pátio Amanda Moreira, 14
Vila Satélite
79982-629 Porto / GO",1980-01-26,(011) 5180-9668,,
48,MLB6539561940-1,Thales Araújo,ggoncalves@example.org,"Recanto Vicente Costela, 6
Maria Virgínia
28189-729 Oliveira Paulista / GO",1930-06-18,(021) 6029-4615,,
49,MLB958139500,Alexia Teixeira,aragaovicente@example.net,"Viela Novaes, 90
Tupi B
29452230 Costa / RO",2007-02-06,71 2651 1600,,
50,MLB834903130,Renan Pires,lfogaca@example.net,"Praça Moraes, 625
Casa Branca
35277462 Lima / BA",1973-06-26,51 2029 7719,,
51,MLB4407957500,Gabriel Cavalcanti,benicio58@example.net,"Praça Theo Cardoso, 82
Nova Esperança
40878-636 Ramos / MA",1953-11-09,+55 (084) 9296-7339,,
